Identifiant de ménage,Typologie du menage_Isolée,Typologie du menage_Menage avec enfant,Typologie du menage_Menage sans enfant,Territoire_Brignoles élargi,Territoire_CAVEM-Golf Saint Tropez,Territoire_Dracénoise,Territoire_HD,Territoire_TPM,Age_A1,Age_A2,Age_A3,Ressources_R0,Ressources_R1,Ressources_R2,Cible
90735611,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90749186,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
90755962,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
90757623,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90037843,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90775221,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90785226,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
89993427,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
90791482,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
90791690,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
90793354,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90797691,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
90817750,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90847959,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
90849734,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
89952445,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90661953,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
90871098,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90878564,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90892925,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90904858,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90921640,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90938047,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
90941375,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
90953881,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90624298,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
14429589,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
84699112,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
69155089,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90492762,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
89874275,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
89902051,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
90584277,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90606185,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90609655,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90616836,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90637133,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90648474,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90510650,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
90658575,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
89925683,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
2544108,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
90750667,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
90773642,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90653896,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
90931472,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
89935815,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
33110581,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
